,car_model,year_of_manufacture,price,fuel,Unnamed: 0.1,Unnamed: 0
0,ritz,2014,5000.0,Petrol,0.0,0.0
1,sx4,2013,7089.55,Diesel,1.0,1.0
2,ciaz,2017,10820.9,Petrol,2.0,2.0
3,wagon r,2011,4253.73,Petrol,3.0,3.0
4,swift,2014,6865.67,Diesel,4.0,4.0
5,vitara brezza,2018,13805.97,Diesel,5.0,5.0
6,ciaz,2015,10074.63,Petrol,6.0,6.0
7,s cross,2015,9701.49,Diesel,7.0,7.0
8,ciaz,2016,13059.7,Diesel,8.0,8.0
9,ciaz,2015,11119.4,Diesel,9.0,9.0
10,alto 800,2017,4253.73,Petrol,10.0,10.0
11,ciaz,2015,10223.88,Diesel,11.0,11.0
12,ciaz,2015,11194.03,Petrol,12.0,12.0
13,ertiga,2015,9104.48,Petrol,13.0,13.0
14,dzire,2009,3358.21,Petrol,14.0,14.0
15,ertiga,2016,11567.16,Diesel,15.0,15.0
16,ertiga,2015,10820.9,Diesel,16.0,16.0
17,ertiga,2016,11567.16,Diesel,17.0,17.0
18,wagon r,2015,4850.75,CNG,18.0,18.0
19,sx4,2010,3955.22,Petrol,19.0,19.0
20,alto k10,2016,4253.73,Petrol,20.0,20.0
21,ignis,2017,7313.43,Petrol,21.0,21.0
22,sx4,2011,6567.16,Petrol,22.0,22.0
23,alto k10,2014,3731.34,Petrol,23.0,23.0
24,wagon r,2013,4328.36,Petrol,24.0,24.0
25,swift,2011,4477.61,Petrol,25.0,25.0
26,swift,2013,6194.03,Petrol,26.0,26.0
27,swift,2017,8955.22,Petrol,27.0,27.0
28,alto k10,2010,2910.45,Petrol,28.0,28.0
29,ciaz,2015,11119.4,Diesel,29.0,29.0
30,ritz,2012,4626.87,Diesel,30.0,30.0
31,ritz,2011,3507.46,Petrol,31.0,31.0
32,swift,2014,7388.06,Diesel,32.0,32.0
33,ertiga,2014,8955.22,Diesel,33.0,33.0
34,dzire,2014,8208.96,Diesel,34.0,34.0
35,sx4,2011,4402.99,CNG,35.0,35.0
36,dzire,2015,6940.3,Petrol,36.0,36.0
37,800,2003,522.39,Petrol,37.0,37.0
38,alto k10,2016,4477.61,Petrol,38.0,38.0
39,sx4,2003,3358.21,Petrol,39.0,39.0
40,baleno,2016,8731.34,Petrol,40.0,40.0
41,alto k10,2014,3805.97,Petrol,41.0,41.0
42,sx4,2008,2910.45,Petrol,42.0,42.0
43,dzire,2014,8208.96,Diesel,43.0,43.0
44,omni,2012,1865.67,Petrol,44.0,44.0
45,ciaz,2014,11194.03,Petrol,45.0,45.0
46,ritz,2013,3955.22,Petrol,46.0,46.0
47,wagon r,2006,1567.16,Petrol,47.0,47.0
48,ertiga,2015,8656.72,Petrol,48.0,48.0
49,ciaz,2017,11567.16,Petrol,49.0,49.0
50,fortuner,2012,22238.81,Diesel,50.0,50.0
51,fortuner,2015,34328.36,Diesel,51.0,51.0
52,innova,2017,26865.67,Diesel,52.0,52.0
53,fortuner,2013,23880.6,Diesel,53.0,53.0
54,innova,2005,4104.48,Petrol,54.0,54.0
55,corolla altis,2009,5373.13,Petrol,55.0,55.0
56,etios cross,2015,6716.42,Petrol,56.0,56.0
57,corolla altis,2010,7089.55,Petrol,57.0,57.0
58,etios g,2014,6119.4,Petrol,58.0,58.0
59,fortuner,2014,29835.82,Diesel,59.0,59.0
60,corolla altis,2013,10373.13,Petrol,60.0,60.0
61,etios liva,2014,5895.52,Diesel,61.0,61.0
62,corolla altis,2016,21985.07,Diesel,62.0,62.0
63,ritz,2014,5000.0,Petrol,63.0,
64,sx4,2013,7089.55,Diesel,64.0,
65,ciaz,2017,10820.9,Petrol,65.0,
66,wagon r,2011,4253.73,Petrol,66.0,
67,swift,2014,6865.67,Diesel,67.0,
68,vitara brezza,2018,13805.97,Diesel,68.0,
69,ciaz,2015,10074.63,Petrol,69.0,
70,s cross,2015,9701.49,Diesel,70.0,
71,ciaz,2016,13059.7,Diesel,71.0,
72,ciaz,2015,11119.4,Diesel,72.0,
73,alto 800,2017,4253.73,Petrol,73.0,
74,ciaz,2015,10223.88,Diesel,74.0,
75,ciaz,2015,11194.03,Petrol,75.0,
76,ertiga,2015,9104.48,Petrol,76.0,
77,dzire,2009,3358.21,Petrol,77.0,
78,ertiga,2016,11567.16,Diesel,78.0,
79,ertiga,2015,10820.9,Diesel,79.0,
80,ertiga,2016,11567.16,Diesel,80.0,
81,wagon r,2015,4850.75,CNG,81.0,
82,sx4,2010,3955.22,Petrol,82.0,
83,alto k10,2016,4253.73,Petrol,83.0,
84,ignis,2017,7313.43,Petrol,84.0,
85,sx4,2011,6567.16,Petrol,85.0,
86,alto k10,2014,3731.34,Petrol,86.0,
87,wagon r,2013,4328.36,Petrol,87.0,
88,swift,2011,4477.61,Petrol,88.0,
89,swift,2013,6194.03,Petrol,89.0,
90,swift,2017,8955.22,Petrol,90.0,
91,alto k10,2010,2910.45,Petrol,91.0,
92,ciaz,2015,11119.4,Diesel,92.0,
93,ritz,2012,4626.87,Diesel,93.0,
94,ritz,2011,3507.46,Petrol,94.0,
95,swift,2014,7388.06,Diesel,95.0,
96,ertiga,2014,8955.22,Diesel,96.0,
97,dzire,2014,8208.96,Diesel,97.0,
98,sx4,2011,4402.99,CNG,98.0,
99,dzire,2015,6940.3,Petrol,99.0,
100,800,2003,522.39,Petrol,100.0,
101,alto k10,2016,4477.61,Petrol,101.0,
102,sx4,2003,3358.21,Petrol,102.0,
103,baleno,2016,8731.34,Petrol,103.0,
104,alto k10,2014,3805.97,Petrol,104.0,
105,sx4,2008,2910.45,Petrol,105.0,
106,dzire,2014,8208.96,Diesel,106.0,
107,omni,2012,1865.67,Petrol,107.0,
108,ciaz,2014,11194.03,Petrol,108.0,
109,ritz,2013,3955.22,Petrol,109.0,
110,wagon r,2006,1567.16,Petrol,110.0,
111,ertiga,2015,8656.72,Petrol,111.0,
112,ciaz,2017,11567.16,Petrol,112.0,
113,fortuner,2012,22238.81,Diesel,113.0,
114,fortuner,2015,34328.36,Diesel,114.0,
115,innova,2017,26865.67,Diesel,115.0,
116,fortuner,2013,23880.6,Diesel,116.0,
117,innova,2005,4104.48,Petrol,117.0,
118,corolla altis,2009,5373.13,Petrol,118.0,
119,etios cross,2015,6716.42,Petrol,119.0,
120,corolla altis,2010,7089.55,Petrol,120.0,
121,etios g,2014,6119.4,Petrol,121.0,
122,fortuner,2014,29835.82,Diesel,122.0,
123,corolla altis,2013,10373.13,Petrol,123.0,
124,etios liva,2014,5895.52,Diesel,124.0,
125,corolla altis,2016,21985.07,Diesel,125.0,
126,ritz,2014,5000.0,Petrol,,
127,sx4,2013,7089.55,Diesel,,
128,ciaz,2017,10820.9,Petrol,,
129,wagon r,2011,4253.73,Petrol,,
130,swift,2014,6865.67,Diesel,,
131,vitara brezza,2018,13805.97,Diesel,,
132,ciaz,2015,10074.63,Petrol,,
133,s cross,2015,9701.49,Diesel,,
134,ciaz,2016,13059.7,Diesel,,
135,ciaz,2015,11119.4,Diesel,,
136,alto 800,2017,4253.73,Petrol,,
137,ciaz,2015,10223.88,Diesel,,
138,ciaz,2015,11194.03,Petrol,,
139,ertiga,2015,9104.48,Petrol,,
140,dzire,2009,3358.21,Petrol,,
141,ertiga,2016,11567.16,Diesel,,
142,ertiga,2015,10820.9,Diesel,,
143,ertiga,2016,11567.16,Diesel,,
144,wagon r,2015,4850.75,CNG,,
145,sx4,2010,3955.22,Petrol,,
146,alto k10,2016,4253.73,Petrol,,
147,ignis,2017,7313.43,Petrol,,
148,sx4,2011,6567.16,Petrol,,
149,alto k10,2014,3731.34,Petrol,,
150,wagon r,2013,4328.36,Petrol,,
151,swift,2011,4477.61,Petrol,,
152,swift,2013,6194.03,Petrol,,
153,swift,2017,8955.22,Petrol,,
154,alto k10,2010,2910.45,Petrol,,
155,ciaz,2015,11119.4,Diesel,,
156,ritz,2012,4626.87,Diesel,,
157,ritz,2011,3507.46,Petrol,,
158,swift,2014,7388.06,Diesel,,
159,ertiga,2014,8955.22,Diesel,,
160,dzire,2014,8208.96,Diesel,,
161,sx4,2011,4402.99,CNG,,
162,dzire,2015,6940.3,Petrol,,
163,800,2003,522.39,Petrol,,
164,alto k10,2016,4477.61,Petrol,,
165,sx4,2003,3358.21,Petrol,,
166,baleno,2016,8731.34,Petrol,,
167,alto k10,2014,3805.97,Petrol,,
168,sx4,2008,2910.45,Petrol,,
169,dzire,2014,8208.96,Diesel,,
170,omni,2012,1865.67,Petrol,,
171,ciaz,2014,11194.03,Petrol,,
172,ritz,2013,3955.22,Petrol,,
173,wagon r,2006,1567.16,Petrol,,
174,ertiga,2015,8656.72,Petrol,,
175,ciaz,2017,11567.16,Petrol,,
176,fortuner,2012,22238.81,Diesel,,
177,fortuner,2015,34328.36,Diesel,,
178,innova,2017,26865.67,Diesel,,
179,fortuner,2013,23880.6,Diesel,,
180,innova,2005,4104.48,Petrol,,
181,corolla altis,2009,5373.13,Petrol,,
182,etios cross,2015,6716.42,Petrol,,
183,corolla altis,2010,7089.55,Petrol,,
184,etios g,2014,6119.4,Petrol,,
185,fortuner,2014,29835.82,Diesel,,
186,corolla altis,2013,10373.13,Petrol,,
187,etios liva,2014,5895.52,Diesel,,
188,corolla altis,2016,21985.07,Diesel,,
